UnicodeRanges
	0020	024F
	2000	206F
	3000	303F
	3400	4DB5
	4E00	9FCB
	FF00	FFEF

FontOverride	Exo-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	SourceCodePro-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Titillium-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Akashi.ttf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Nobile-Regular.ttf	MFShangHei_Noncommercial_Light_CDE.otf

GameTitle	Children of a Dead Earth
BurnTime	燃烧时间
BurnTemperature	燃烧温度
BurnTimeLeft	剩余燃烧时间
LaserIntensityChart Title	强度范围
LaserIntensityChart XAxis	距离
LaserIntensityChart YAxis	强度
LaserArcLampChart Title	弧光灯光谱
LaserArcLampChart XAxis	波长
LaserArcLampChart YAxis	强度
LaserDamageAtEngagementRange	在规定射程的伤害
Optic Lens	透镜
Optic Mirror	镜片
Optic NonlinearOptic	非线性镜片
PowerRequired	电力消耗
Radius	半径
Height	高度
NuclearPayloadChart Title	伤害范围
NuclearPayloadChart XAxis	爆心距离
NuclearPayloadChart YAxis	能量
NuclearPayloadUI Detonate	引爆
NuclearPayloadUI IgnoreMinimumRange	忽略最小安全距离
NuclearPayloadUI DelayedTrigger	延迟触发
PropellantTank Status	剩余：%s (%s)
PropellantTankUI EjectWhenEmpty	用尽时自动丢弃
PropellantTankUI Eject	分离
RadiatorHeatChart Title	热量发散
RadiatorHeatChart XAxis	模块温度
RadiatorHeatChart YAxis	热量
RadiatorEfficiencyChart Title	效率
RadiatorEfficiencyChart XAxis	模块温度
RadiatorEfficiencyChart YAxis	效率
RadiatorEmissivityChart Title	发射率
RadiatorEmissivityChart XAxis	模块温度
RadiatorEmissivityChart YAxis	发射率
ReactionMass	燃料
Refueler Status SomeRefueling	 (正在自动加油)
Refueler Status AllRefueling	 (自动加油中)
RefuelerUI Extract	Extract
LauncherUI Launch1	发射1枚
LauncherUI Launch5	发射5枚
LauncherUI Launch20	发射20枚
LauncherUI LaunchAll	全部发射
LauncherUI CancelLaunches	取消发射序列
LauncherUI LaunchWithOrder	发射后自动设置指令
LauncherUI SplitLaunches	发射后自动分离舰队
RemoteControlUI Disarm	永久关机
RemoteControlUI DistributeHoming	分散攻击
RemoteControlUI DefaultPhase	自动判断阶段
RemoteControlUI BoostPhase	强制锁定在发射段
RemoteControlUI MidcoursePhase	强制锁定在中段
RemoteControlUI TerminalPhase	强制锁定在末段
WeaponRangeEstimations	有效射程
WeaponSizeEstimatorSmall	导弹体积
WeaponSizeEstimatorMedium	无人机体积
WeaponSizeEstimatorCapital	主力舰体积
WeaponRangeChart Title	射程精度
WeaponRangeChart XAxis	射击散布
WeaponRangeChart YAxis	射程
Weapon Status OutOfAmmo	弹药耗尽
Weapon Status RoundsLeft	%i发弹药剩余
Weapon Status PendingLaunch	%i枚正在发射
Weapon Message AlliesAreFiring	友军正在发射%s
Weapon Message EnemiesAreFiring	敌军正在发射%s
Weapon Message ShipIsFiring	%s正在发射%s
WeaponUI DodgePrediction	预判射击
WeaponUI IgnoreRange	忽略射程
WeaponUI DistributedTargeting	分散射击
ConventionalGunPressureChart Title	膛内压力
ConventionalGunPressureChart XAxis	弹丸滑行距离
ConventionalGunPressureChart YAxis	压力
CoilgunAccelerationChart Title	加速度
CoilgunAccelerationChart XAxis	弹丸滑行距离
CoilgunAccelerationChart YAxis	加速度
RailgunAccelerationChart Title	加速度
RailgunAccelerationChart XAxis	弹丸滑行距离
RailgunAccelerationChart YAxis	加速度
MPDThrusterChart Title	电压: %s
MPDThrusterChart BackEMF	反电动势
MPDThrusterChart AnodeSheath	阳极电子罩电压
MPDThrusterChart PlasmaHeating	等离子体加热电压
MPDThrusterChart WorkFunction	功函数电压
MPDThrusterChart Ionization	电离电压
MPDThrusterChart CovalentDissociation	共价键解离电压
NuclearReactor Subcritical	次临界
NuclearReactor Supercritical	超临界
NuclearReactor Waste	浪费
NuclearReactor ControlRods	控制棒
NuclearReactor Coolant	冷却剂
NuclearReactor Moderator	减速剂
NuclearReactor Fuel	燃料
ThermalRocket Chamber	燃烧室
ThermalRocket Throat	喷管
ThermalRocket Nozzle	出口锥
ThermalRocket GasWall	气体壁
ThermalRocket LiquidWall	液体壁
Mach	马赫数 
PowerUse Solenoid	螺线管
PowerUse CrewQuarters	船员仓
PowerUse LinearMotor	装弹机
PowerUse Capacitors	电容器
PowerUse InjectorAndThruster	喷口与推进器
PowerUse MPDThruster	MPD推进器
PowerUse ArcLamp	弧光灯
PowerUse Rails	磁轨
PowerUse InjectorAndCoil	喷口与线圈
PowerUse Turbopump	涡轮泵
PowerUse TurretMotors	伺服电机
PowerUse MomentumWheels	动量轮
Gun Turreted	炮塔式 
Gun Fixed	固定式 
Gun Round	 弹丸
Gun Internal	内嵌式 
Weapon Railgun	轨道炮
Weapon Coilgun	线圈炮
Weapon Cannon	火炮
Green	绿色
Yellow	黄色
Violet	紫色
Blue	蓝色
Orange	橙色
Red	红色
GammaRay	伽玛射线
ExtremeUV	远紫外
NearUV	近紫外
HardXRay	高透力X射线
SoftXRay	低透力X射线
FarIR	远红外
MidIR	中红外
LongwaveIR	长波红外
NearIR	近红外
ShortwaveIR	短波红外
THzMicrowave	太赫兹微波
KMicrowave	K波段微波
KuMicrowave	K_u波段微波
QMicrowave	Q波段微波
KaMicrowave	K_a波段微波
WMicrowave	W波段微波
VMicrowave	V波段微波
DMicrowave	D波段微波
FMicrowave	F波段微波
SMicrowave	S波段微波
LMicrowave	L波段微波
XMicrowave	X波段微波
CMicrowave	C波段微波
HFRadiowave	高频无线电波
MFRadiowave	中频无线电波
UHFRadiowave	特高频无线电波
VHFRadiowave	甚高频无线电波
ELFRadiowave	极低频无线电波
TLFRadiowave	至低频无线电波
ULFRadiowave	特低频无线电波
SLFRadiowave	超低频无线电波
LFRadiowave	低频无线电波
VLFRadiowave	甚低频无线电波
Degrees	°
Million	百万 
Billion	十亿 
AmmoContainers	弹药容器
PropellantTanks	工质容器
Powerplants	发电机
Engines	引擎
CrewModules	船员模块
Payloads	填装药
Weapons	武器
Radiators	散热器
Misc	杂项
Propellant	推进器
ArmorLayer	装甲层
PropellantTank Drop	可抛式
PropellantTank External	外置
PropellantTank Armored	装甲强化
PropellantTank Tank	罐
Engine Gimballed	矢量 
Engine CombustionRocket	燃烧火箭
Engine MagnetoplasmadynamicThruster	磁等离子体动力推进器
Engine MPDThruster	MPD推进器
Engine NuclearThermalRocket	热核火箭
Engine NTR	核子火箭
Engine Resistojet	电热流体推进器
Weapon BlastLauncher	爆炸弹射发射器
Weapon Launcher	发射器
Weapon Capacitor	电容
Weapon Laser	激光
Weapon Mount	基座
Weapon Fixed	固定
Weapon Turret	炮塔
Command RemoteControl	遥控
Command Fuse	定时器
Command CrewModule	船员仓
Payload FlakBomb	破片炸弹
Payload Explosive	炸药
Payload Flare	热诱弹
Misc CargoBay	货仓
Misc Diameter	圆形
Misc RadiationShield	辐射隔离盾
Misc Spacer	空置
Payload PureFission	纯裂变
Payload BoostedFission	三级裂变
Payload Nuke	核弹
Radiator Radiator	散热板
Powerplant RTG	同位素热电发电机
Powerplant Generator	发电机
Powerplant Reactor	核裂变反应堆
Powerplant ThermoReactor	热电核裂变反应堆
Powerplant TurboReactor	涡轮核裂变反应堆
Misc Refueler	加燃料器
Misc AutoRefueler	自动加燃料器
InfoBox Resistojet	分解量: %s
InfoBox RTG	
	燃料温度: %s
	燃料热量: %s
InfoBox NTR	分解量: %s
InfoBox ExplosionHazard	殉爆风险
InfoBox BipropellantMassRatio	
	%s与%s消耗比率:
		%s : 1 (质量)
InfoBox CraftSize	
	长度: %s
	船体直径: %s
	总直径: %s
	横截面积: %s
InfoBox CraftMass	质量: %s
InfoBox CraftCost	造价: %s
InfoBox CraftHeatSignature	热信号: %s
InfoBox CraftHeatSignaturePeak	
	待机热量: %s
	尖峰热量: %s
InfoBox CraftMovement	
	满载加速度: %s
	空载加速度: %s
	总燃烧时间: %s
InfoBox CraftTurnabout	转向耗时: %s
InfoBox CraftRollabout	横滚耗时: %s
InfoBox MassRatio	
	质量比: %s
	湿重: %s
	干重: %s
InfoBox MassRatioIndented	
		质量比: %s
		湿重: %s
		干重: %s
InfoBox MassRatioStage	可丢弃的部分
InfoBox MassRatioSpacecraft	太空船
InfoBox CraftDeltaV	Delta-V: %s km/s
InfoBox CraftDeltaVCantTurn	无法转向
InfoBox CraftArmor	%s %s制装甲
InfoBox EngineAdvancedInfo	
	推进器功率: %s
	流量: %s
InfoBox EngineInfo	
	喷出速度: %s
	推力: %s
	推力与质量比: %s
InfoBox EngineGimbal	
	万向节转速: %s
	最大矢量角度: %s
InfoBox ExplosiveInfo	弹片: %ix %s 碎片
InfoBox RadiationShield	
	伽玛防护: %.2e
	热中子防护: %.2e
	快中子防护: %.2e
InfoBox LaserVitals	
	输出功率: %s
	波长: %s
	M^2: %s
InfoBox LaserFrequencyDoubler	频率倍增器
InfoBox LaserFrequencyDoubler2	频率倍增器 2
InfoBox LaserAdvancedPowerOutput	
	输出功率: %s / %s
	最大环境温度: %s
InfoBox LaserAdvancedEfficiency	
	效率: %s
		泵浦效率: %s
		共振腔透光性: %s
		共振腔反射: %s
		共振腔外形: %s
		散射: %s
	%s
		聚焦镜效率: %s
InfoBox RadiationHazard	辐射危害: %s
InfoBox ModuleHeat	
	热量: %s
	散热温度: %s
InfoBox ModuleCrew	人力消耗: %.1f
InfoBox NuclearPayload	
	总当量: %s
	总能量: %s
	爆炸能量分布: %s
	综合效率: %s
InfoBox NuclearPayloadAdvancedInfo	
	爆炸物能量: %s
	爆炸物压缩比: %s
	裂变效率: %s
InfoBox NuclearPayloadFusionBoost	聚变助爆效率: %s
InfoBox Powerplant	
	发电量: %s
	效率: %s
InfoBox PropellantMassRatio	质量比: %s
InfoBox PropellantArmor	装甲: %s of %s
InfoBox PropellantEjection	弹射速度: %s
InfoBox PropellantDetonation	殉爆风险
InfoBox Radiator	
	尺寸: %s x %s x %i
	总面积: %s
InfoBox Refueler	
	泵速率: %s
	最大范围: %s
InfoBox WeaponAmmoCost	每发弹药开销: %s
InfoBox WeaponMuzzleVelocity	出膛速度: %s
InfoBox WeaponSpread	散布: %s
InfoBox WeaponAmmo	弹药基数: %i
InfoBox WeaponTurret	
	炮塔转速: %s °/s
	最大角度: %s°
InfoBox WeaponReload	射击间隔: %s
InfoBox WeaponOverheating	
	过热时射击间隔: %s
	最少过热时间: %s
InfoBox ConventionalGun	
	效率: %s
	射击间隔: %s
	产生热量: %s
	弹丸能量: %s
InfoBox Coilgun	
	效率: %s
	射击时间: %s
	射击间隔: %s
	%s
	产生热量: %s
	弹丸能量: %s
InfoBox Railgun	
	效率: %s
	射击时间: %s
	射击间隔: %s
	%s
	产生热量: %s
	弹丸能量: %s
	感应系数: %s
InfoBox MPDThruster	
	感应系数: %s
	效率: %s
InfoBox NuclearReactor	
	未泄露的快中子: %.2f
	未泄露的热中子: %.2f
	增殖系数: %.2f
	裂变效率系数: %.2f
	共振逃逸概率: %.2f
	快裂变系数: %.2f
InfoBox Capacitor	
	电容器
		击穿电压: %s
		电流容量: %s
		总能量: %s
		充电时间: %s
Itinerary Status EndsInCollision	于%s后撞击！
Itinerary Status MatchesOrbit	匹配入%s的轨道，在%s后。
Itinerary Status EngagesFleet	接战%s，在%s后。
Itinerary Status JoinsFleet	与%s交会，在%s后。
Itinerary Status Freefall	自由落体航线
Itinerary Status InterceptVelocity	拦截速度
Itinerary Status Perpendicular	垂直
Itinerary Status Parallel	平行
Itinerary Status ClosestApproach	最近距离
Itinerary Status SelectedNode	选中的节点
Itinerary Status Time	时间
Itinerary Status DeltaV	Delta-V
Itinerary Status SingleBurn	Single burn of %s in %s
Itinerary Status NoBurn	No Burn in %s
Itinerary Status BurnIn	%s in %s
Itinerary Status TotalBurns	%i %s totaling %s between %s and %s
Itinerary Status Burn	Burn
Itinerary Status Burns	Burns
Itinerary Status TotalCost	总消耗
Fleet Status Orbiting	环绕于%s
Fleet Status OrbitalPeriod	轨道周期
Fleet Status OrbitalLPoint	环绕于%s-%s的L%i点
Trajectory	航线
Actions	动作
SetFrameOfReferenceButton	设定参考系
CenterCamera	摄像机居中
Select	选择
MatchOrbit	匹配%s的轨道
Flyby	飞掠%s
DeleteBurn	删除推进器点火计划
CircularInjection	Circular Injection Around %s
ReduceTrajectory	Reduce Trajectory
ExtendTrajectory	Extend Trajectory
Join	交会
Intercept	拦截
CurrentFrameOfReference	当前的参考系
Derelict	遗弃物
Fleet	舰队
Drone	无人机
Capital	主力舰
Station	空间站
Missile	导弹
Population	常驻人口
OrbitalPopulation	在轨常驻人口
Range	Range
EnemiesAreMovingAway	敌方正在脱离
InterceptInTime	Intercept in %s
Disabled	被摧毁
ArmorVisualizer	显示装甲区
HeatSignature	热信号
Damaged	受损
Undamaged	未受损
Destroyed	被摧毁
EstimatedArmorDamage	预计装甲伤害
None	无
SuperficialDamage	极少伤害
LocalBreach	局部泄露
LightDamage	轻度伤害
ModerateDamage	中等伤害
HeavyDamage	严重伤害
CriticalDamage	致命伤害
Subsystems	子系统
PowerNeeded	需要
PowerTotal	总计
Deactivate	关闭
Untarget	取消目标
Activate	启动
Target	目标
IsTargetPriority	当前是优先攻击目标
IsPartiallyActive	当前为部分启动
IsNotTargetPriority	当前不是优先攻击目标
IsPartialTargetPriority	当前是部分优先攻击目标
IsActive	当前为已启动
IsDeactivated	当前为已关闭
DamagedModuleTitle	受损
Orders Cancel	取消指令
Orders Cancel Use	没有指令
Orders Move	移动
Orders Move Use	移动中
Orders Orient	对准方向
Orders Orient Use	调转方向
Orders Roll	横滚
Orders Roll Use	横滚中
Orders Regroup	重组
Orders Regroup Use	重组中
Orders Broadside	侧舷对敌
Orders Broadside Use	调转方向至侧舷对敌
Orders Homing	追击
Orders Homing Use	追击中
Orders Scatter	分散
Orders Scatter Use	分散中
Orders NoseForward	舰艏对敌
Orders NoseForward Use	调转方向至舰艏对敌
CraftsAreOutOfDeltaV	航天器用尽了Delta-V！
CantBroadsideNoWeapons	无法侧舷对敌，舰船没有武器。
CantRollNoRollEngines	无法横滚，舰船没有能够有效横滚的推进器。
FlybyInTime	于%s后飞越
MixedShips	混合舰船
Neutral	中立
Allied	友方
Enemy	敌方
AwayRange	%s away, %s range
MovingTowards	Towards
MovingAway	Away
Ranges	Ranges
MovingAt	Moving %s at %s
Undo	Undo
Turbine Inlet	Inlet
Turbine ExitAreaChange	Turbine Exit Area Change
Turbine EntryAreaChange	Turbine Entry Area Change
Turbine Exit	Turbine Exit
Turbine TurbopumpExit	Turbopump Exit
Turbine ReactorExit	Reactor Exit

Document	设定文档
OrbitalElements	OrbitalElements
StartingBody	StartingBody
StarterFleet	StarterFleet
CraftBlueprint	CraftBlueprint
Faction	阵营
Doctrine	理念
Element	元素
CelestialLocation	天体位置
LevelBadges	LevelBadges
CustomObjective	Custom Objective
Speaker	Speaker
Level	关卡
Module	模块
EmissionSpectrum	发射光谱
RefractiveIndexSpectrum	折射率谱
Credits	鸣谢
ImportLog	导入日志
Material	材料
ChemicalReaction	化学反应
FusionReaction	聚变反应
Concept	概念
CelestialBody	天体
BlackBoxPowerModule	黑科技能源模块
AmmoModule	弹药架模块
FlareModule	热诱弹模块
NuclearPayloadModule	核武器模块
ExplosiveModule	爆炸物模块
RadioisotopeThermoelectricGeneratorModule	同位素热电发电机模块
ThermoelectricFissionReactorModule	热电核裂变反应堆模块
RadiatorModule	散热器模块
CrewModule	船员仓模块
RemoteControlModule	远程遥控模块
FuseModule	定时器模块
SpacerModule	空置模块
RadiationShieldModule	辐射隔离盾模块
CargoModule	货仓模块
StandaloneLaserMountModule	独立基座激光炮模块
BlackBoxWeaponModule	黑科技武器模块
CarrierModule	发射器模块
BlastLauncherModule	爆炸弹射发射器
CoilgunModule	线圈炮模块
LaserModule	激光炮模块
RailgunModule	电磁炮模块
PropellantTankModule	工质容器模块
RefuelerModule	加燃料器模块
ConventionalGunModule	火炮模块
ResistojetModule	电热流体推进器模块
MagnetoplasmadynamicThrusterModule	磁等离子动力推进器模块
BlackBoxEngineModule	黑科技引擎模块
NuclearThermalRocketModule	热核火箭模块
CombustionRocketModule	燃烧火箭模块
DwarfPlanets	矮行星
Asteroids	小行星

TotalMass_kg	总重_kg
Price_c	价格_c
TotalLength_m	总长度_m
DeltaV_km__s	DeltaV_km__s
AreaCrossSection_m2	横截面积_m2
ArmorDiameter_m	装甲区直径_m
TotalDiameter_m	总直径_m
MaxAcceleration_m__s2	满载加速度_m__s2
DryAcceleration_m__s2	空载加速度_m__s2
TotalBurnTime_s	总燃烧时间_s
AmbientHeatSignature_W	待机热信号_W
PeakHeatSignature_W	尖峰热信号_W
ExplosionVelocity_m__s	爆炸速度_m__s
ExplosiveEnergyDensity_J__kg	爆炸能量密度_J__kg
FlameTemperature_K	火焰温度_K
FlameSpeed_m__s	火焰速度_m__s
FlameWidth_m	火焰宽度_m
CharacteristicLength_m	特征长度_m
CrewAdded	船员容量
MaxGimbalAngle_radians	最大矢量角度_radians
GimbalAngularVelocity_radians__s	万向节角速度_radians__s
ThrustPower_W	推进器功率_W
MaxMassFlowRate_kg__s	最大质量流量_kg__s
ThrustMassRatio_m__s2	推质比_m__s2
MaxThrust_N	最大推力_N
EffectiveExhaustVelocity_km__s	等效排出速度_km__s
AverageTotalEnergy_eV	平均总能量_eV
AstrophysicalFactor_eV_b	天体物理系数_eV_b
ReducedMass_eV	降低质量_eV
EffectiveZ	效率Z
Mass_kg	质量_kg
TotalCost_c	总造价_c
CrewCountRequired	需要的船员
PowerRequired_W	需要的电力_W
TotalRadiation_W	总辐射量_W
Density_kg__m3	密度_kg__m3
Price_c__kg	价格_c__kg
SafeUseTemperature_K	安全使用温度_K
YieldStrength_Pa	抗屈强度_Pa
UltimateTensileStrength_Pa	极限抗拉强度_Pa
MeltingPoint_K	熔点_K
BoilingPoint_K	沸点_K
SpecificHeat_J__kg_K	比热容_J__kg_K
ThermalConductivity_W__m_K	热导率_W__m_K
ThermalExpansion__K	热胀冷缩__K
ThermalDiffusivity_m2__s	热扩散率_m2__s
YoungsModulus_Pa	弹性模量_Pa
ShearModulus_Pa	剪切模量_Pa
BulkModulus_Pa	体积模量_Pa
PoissonsRatio	泊松比
Viscosity_Pa_s	黏性_Pa_s
HalfLife_s	半衰期_s
RadioactiveSpecificPower_W__kg	放射性比功_W__kg
Conductivity_S__m	电导率_S__m
Resistivity_Ohm_m	电阻率_Ohm_m
RelativePermittivity	相对电容率
ThermoelectricSensitivity_V__K	热电灵敏度_V__K
RelativePermeability	相对磁导率
DielectricStrength_V__m	介电强度_V__m
TotalMagneticMoment	总磁矩
Remanence_T	剩磁_T
MagneticSusceptibility	磁化率
Coercivity_A__m	矫顽力_A__m
SaturationMagnetization_A__m	饱和磁化强度_A__m
MagneticSaturationFluxDensity_T	磁饱和通量密度_T
BandGap_eV	能隙_eV
DetonationVelocity_m__s	爆炸速度_m__s
EnergyDensity_J__kg	能量密度_J__kg
AdiabaticFlameTemperature_K	绝热火焰温度_K
LasingDamageThreshold_W__m2	激光损伤阐值_W__m2
TotalEnergy_J	总能量_J
Efficiency_Percent	效率_Percent
HeatGenerated_W	产生热量_W
PowerGenerated_W	产生电力_W
BackTaper_radians	向后延展_radians
FrontTaper_radians	向前延展_radians
MaxTemperatureAllowed_K	最大承受温度_K
Height_m	高度_m
Width_m	宽度_m
TotalSurfaceArea_m2	总表面积_m2
TurningPowerDrain_W	万向节耗电量_W
ReloadPower_W	装弹机耗电量_W
ChargingPower_W	充电耗电量_W
ChargingTime_s	充电时间_s
CooldownTime_s	冷却时间_s
MinimumOverheatTime_s	最小过热时间_s
MaxDeviationAngle_radians	炮塔最大转角_radians
TurningAngularVelocity_radians__s	炮塔旋转速度_radians__s
ReloadTime_s	装弹时间_s
StartingAmmo	内置弹容量
Accuracy_radians	精度_radians
FiringVelocity_km__s	出膛速度_km__s

UITheme Default	默认
UITheme Inverted	夜间模式
UITheme Martian Red	火星红
UITheme Matrix Green	黑客绿
UITheme Naval Blue	海军蓝
UITheme Polished Steel	磨光灰
UITheme Small Text	小字体
UITheme Small Text Inverted	小字体夜间模式

EmissionSpectrum Hydrogen	氢
EmissionSpectrum Helium	氦
EmissionSpectrum Lithium	锂
EmissionSpectrum Beryllium	铍
EmissionSpectrum Boron	硼
EmissionSpectrum Carbon	碳
EmissionSpectrum Nitrogen	氮
EmissionSpectrum Oxygen	氧
EmissionSpectrum Fluorine	氟
EmissionSpectrum Neon	氖
EmissionSpectrum Sodium	钠
EmissionSpectrum Magnesium	镁
EmissionSpectrum Aluminum	铝
EmissionSpectrum Silicon	硅
EmissionSpectrum Phosphorus	磷
EmissionSpectrum Sulfur	硫
EmissionSpectrum Chlorine	氯
EmissionSpectrum Argon	氩
EmissionSpectrum Potassium	钾
EmissionSpectrum Calcium	钙
EmissionSpectrum Scanadium	钪
EmissionSpectrum Titanium	钛
EmissionSpectrum Vanadium	钒
EmissionSpectrum Chromium	铬
EmissionSpectrum Manganese	锰
EmissionSpectrum Iron	铁
EmissionSpectrum Cobalt	钴
EmissionSpectrum Nickel	镍
EmissionSpectrum Copper	铜
EmissionSpectrum Zinc	锌
EmissionSpectrum Gallium	镓
EmissionSpectrum Germanium	锗
EmissionSpectrum Arsenic	砷
EmissionSpectrum Bromine	溴
EmissionSpectrum Krypton	氪
EmissionSpectrum Rubidium	铷
EmissionSpectrum Strontium	锶
EmissionSpectrum Yttrium	钇
EmissionSpectrum Zirconium	锆
EmissionSpectrum Molybdenum	钼
EmissionSpectrum Technetium	锝
EmissionSpectrum Ruthenium	钌
EmissionSpectrum Rhodium	铑
EmissionSpectrum Palladium	钯
EmissionSpectrum Silver	银
EmissionSpectrum Cadmium	镉
EmissionSpectrum Indium	铟
EmissionSpectrum Tin	锡
EmissionSpectrum Antimony	锑
EmissionSpectrum Tellurium	碲
EmissionSpectrum Iodine	碘
EmissionSpectrum Xenon	氙
EmissionSpectrum Caesium	铯
EmissionSpectrum Barium	钡
EmissionSpectrum Praseodymium	镨
EmissionSpectrum Neodymium	钕
EmissionSpectrum Samarium	钐
EmissionSpectrum Europium	铕
EmissionSpectrum Gadolinium	钆
EmissionSpectrum Terbium	铽
EmissionSpectrum Dysprosium	镝
EmissionSpectrum Holmium	钬
EmissionSpectrum Erbium	铒
EmissionSpectrum Thulium	铥
EmissionSpectrum Ytterbium	镱
EmissionSpectrum Lutetium	镥
EmissionSpectrum Hafnium	铪
EmissionSpectrum Tantalum	钽
EmissionSpectrum Tungsten	钨
EmissionSpectrum Iridium	铱
EmissionSpectrum Gold	金
EmissionSpectrum Mercury	汞
EmissionSpectrum Thallium	铊
EmissionSpectrum Lead	铅
EmissionSpectrum Bismuth	铋
EmissionSpectrum Francium	钫
EmissionSpectrum Uranium	铀

RefractiveIndexSpectrum White	白色
RefractiveIndexSpectrum Red	红色
RefractiveIndexSpectrum Yellow	黄色
RefractiveIndexSpectrum Blue	蓝色
RefractiveIndexSpectrum Green	绿色
RefractiveIndexSpectrum Purple	紫色
RefractiveIndexSpectrum Orange	橙色
RefractiveIndexSpectrum Teal	青色
RefractiveIndexSpectrum Aluminum	铝
RefractiveIndexSpectrum Copper	铜
RefractiveIndexSpectrum Tin	锡
RefractiveIndexSpectrum Silver	银
RefractiveIndexSpectrum Gold	金
RefractiveIndexSpectrum Platinum	铂
RefractiveIndexSpectrum Nickel	镍
RefractiveIndexSpectrum Iron	铁
RefractiveIndexSpectrum Titanium	泰
RefractiveIndexSpectrum Tungsten	钨
RefractiveIndexSpectrum Lead	铅
RefractiveIndexSpectrum Lithium	锂
RefractiveIndexSpectrum Water	水
RefractiveIndexSpectrum Heavy Water	重水
RefractiveIndexSpectrum Graphite	石墨
RefractiveIndexSpectrum Molybdenum	钼
RefractiveIndexSpectrum Tantalum	钽
RefractiveIndexSpectrum Bismuth	铋
RefractiveIndexSpectrum Rhenium	铼
RefractiveIndexSpectrum Aramid	芳纶
RefractiveIndexSpectrum Beryllium Oxide	氧化铍
RefractiveIndexSpectrum Boron Nitride	氮化硼
RefractiveIndexSpectrum Boron Carbide	碳化硼
RefractiveIndexSpectrum Titanium Carbide	碳化钛
RefractiveIndexSpectrum Titanium Nitride	氮化钛
RefractiveIndexSpectrum Fused Quartz	熔凝石英
RefractiveIndexSpectrum Indium Gallium Arsenide	砷化铟镓
RefractiveIndexSpectrum Carbon Nanotube Forest	碳纳米管林
RefractiveIndexSpectrum Boron	硼
RefractiveIndexSpectrum Silicon	硅
RefractiveIndexSpectrum Selenium	硒
RefractiveIndexSpectrum Silicon Carbide	碳化硅
RefractiveIndexSpectrum Gallium Nitride	氮化镓
RefractiveIndexSpectrum Lead Sulfide	硫化铅
RefractiveIndexSpectrum Cadmium Selenide	硒化镉
RefractiveIndexSpectrum Cadmium Sulfide	硫化镉
RefractiveIndexSpectrum Indium Antimonide	锑化铟
RefractiveIndexSpectrum Diamond	钻石
RefractiveIndexSpectrum Octogen	奥托金炸药
RefractiveIndexSpectrum Vanadium	钒
RefractiveIndexSpectrum Cobalt	钴
RefractiveIndexSpectrum Uranium	钨
RefractiveIndexSpectrum Uranium Oxide	氧化铀
RefractiveIndexSpectrum Aluminum Nitride	氮化铝
RefractiveIndexSpectrum Aluminum Oxide	氧化铝
RefractiveIndexSpectrum Silicon Nitride	氮化硅
RefractiveIndexSpectrum Silicon Dioxide	二氧化硅
RefractiveIndexSpectrum Aluminum Oxynitride	氮化铝
RefractiveIndexSpectrum Hafnia	二氧化铪
RefractiveIndexSpectrum Hafnium	铪
RefractiveIndexSpectrum Polytetrafluoroethylene	聚四氟乙烯
RefractiveIndexSpectrum Zinc Oxide	氧化锌
RefractiveIndexSpectrum Yttrium Aluminum Garnate	钇铝石榴石(YAG)
RefractiveIndexSpectrum Styrene-Acrylonitrile	苯乙烯丙烯腈
RefractiveIndexSpectrum Calcium Carbonate	碳酸钙
RefractiveIndexSpectrum Beryllium	铍
RefractiveIndexSpectrum Magnesium	镁
RefractiveIndexSpectrum Corundum	金刚砂
RefractiveIndexSpectrum Gadolinium Gallium Garnet	钆镓石榴石(GGG)
RefractiveIndexSpectrum Potassium Dihydrogen Phosphate	磷酸二氢钾
RefractiveIndexSpectrum Potassium Titanyl Phosphate	磷酸钛钾
RefractiveIndexSpectrum Barium Borate	硼酸钡
RefractiveIndexSpectrum Lithium Triborate	三硼酸锂
RefractiveIndexSpectrum Lithium Niobate	铌酸锂
RefractiveIndexSpectrum BK7	BK7
RefractiveIndexSpectrum Silver Gallium Selenide	硒镓银
RefractiveIndexSpectrum Osmium	锇
RefractiveIndexSpectrum Iridium	铱
RefractiveIndexSpectrum Sodium	钠
RefractiveIndexSpectrum Hydrogen	氢
RefractiveIndexSpectrum Deuterium	氘
RefractiveIndexSpectrum Helium	氦
RefractiveIndexSpectrum Nitrogen	氮
RefractiveIndexSpectrum Neon	氖
RefractiveIndexSpectrum Krypton	氪
RefractiveIndexSpectrum Oxygen	氧
RefractiveIndexSpectrum Xenon	氙
RefractiveIndexSpectrum Argon	氩
RefractiveIndexSpectrum Ammonia	氨
RefractiveIndexSpectrum Carbon Dioxide	二氧化碳
RefractiveIndexSpectrum Methane	甲烷
RefractiveIndexSpectrum Calcite	方解石
RefractiveIndexSpectrum Titanium Dioxide	二氧化钛
RefractiveIndexSpectrum Polyethylene	聚乙烯
RefractiveIndexSpectrum Silica Aerogel	硅土气凝胶
RefractiveIndexSpectrum Yttrium Lithium Fluoride	氟化钇锂(YLF)
RefractiveIndexSpectrum Mercury	汞
RefractiveIndexSpectrum Zirconium	锆

Element Hydrogen	氢
Element Deuterium	氘
Element Helium-3	氦-3
